"","Mercadoria","Vencimento","Preço de ajuste anterior","Preço de ajuste Atual","Variação","Valor do ajuste por contrato (R$)"
"402","","F26","67.501,59","66.901,60","-599,99","599,99"
"403","","N26","65.091,71","64.467,03","-624,68","624,68"
"404","","F27","62.628,25","61.980,72","-647,53","647,53"
"405","","F28","58.033,49","57.391,95","-641,54","641,54"
"406","","F29","53.766,20","53.143,75","-622,45","622,45"
"407","","F30","49.698,40","49.060,30","-638,10","638,10"
"408","","F31","46.174,25","45.521,99","-652,26","652,26"
"409","OZ1   - Ouro 250g","F20","197,357","200,205","2,848","712,00"
"410","","G20","198,136","200,995","2,859","714,75"
"411","PCARP - Contrato Futuro de PCAR4","F20","88,16","87,72","-0,44","0,44"
"412","","G20","88,45","88,01","-0,44","0,44"
"413","PETRP - Contrato Futuro de PETR4","F20","30,65","30,71","0,06","0,06"
"414","","G20","30,75","30,81","0,06","0,06"
"415","PSSAO - Contrato Futuro de PSSA3","F20","62,18","62,38","0,20","0,20"
"416","","G20","62,29","62,48","0,19","0,19"
"417","RUB   - RUBLO RUSSO (TIPO A)","F20","62.802,600","62.539,000","-263,600","170,88"
"418","","G20","63.003,966","62.740,553","-263,413","170,76"
"419","","H20","63.195,587","62.935,954","-259,633","168,31"
"420","SEK   - COROA SUECA (TIPO A)","F20","9.401,400","9.399,400","-2,000","8,62"
"421","","G20","9.385,135","9.384,561","-0,574","2,47"
"422","","H20","9.373,051","9.372,063","-0,988","4,26"
"423","SJC   - Soja Financeira Cross Listing","F20","20,4696","20,3814","-0,0882","161,18"
"424","","H20","20,7341","20,6404","-0,0937","171,23"
"425","","K20","21,0317","20,9436","-0,0881","161,00"
"426","","N20","21,2853","21,2081","-0,0772","141,08"
"427","","Q20","21,3679","21,2963","-0,0716","130,84"
"428","","U20","21,2963","21,2467","-0,0496","90,64"
"429","","X20","21,3459","21,3018","-0,0441","80,59"
"430","","F21","21,4010","21,3679","-0,0331","60,49"
"431","","H21","21,2081","21,1806","-0,0275","50,25"
"432","","K21","21,1861","21,1475","-0,0386","70,54"
"433","SWI   - FRANCO SUIÇO (TIPO A)","F20","978,900","975,900","-3,000","124,27"
"434","","G20","976,600","973,600","-3,000","124,27"
"435","","H20","974,800","971,800","-3,000","124,27"
"436","T10   - US T-Note 10 anos","H20","128,1718","128,3125","0,1407","571,70"
"437","","M20","128,0468","128,1718","0,1250","507,91"
"438","TRY   - LIRA TURCA","F20","683,1020","681,0610","-2,0410","153,07"
"439","","G20","678,1670","676,8580","-1,3090","98,17"
"440","","H20","674,5780","673,4710","-1,1070","83,02"
"441","TUQ   - LIRA TURCA (TIPO A)","F20","5.949,200","5.961,500","12,300","84,25"
"442","","G20","5.999,500","6.005,500","6,000","41,10"
"443","","H20","6.037,600","6.042,200","4,600","31,51"
"444","USIMA - Contrato Futuro de USIM5","F20","9,28","9,35","0,07","0,07"
"445","","G20","9,31","9,38","0,07","0,07"
"446","VALEO - Contrato Futuro de VALE3","F20","53,66","54,18","0,52","0,52"
"447","","G20","53,84","54,37","0,53","0,53"
"448","VVARO - Contrato Futuro de VVAR3","F20","11,30","11,28","-0,02","0,02"
"449","","G20","11,34","11,31","-0,03","0,03"
"450","WDO   - Dólar","F20","4.063,9010","4.060,1400","-3,7610","37,61"
"451","","G20","4.068,6850","4.064,8680","-3,8170","38,17"
"452","","H20","4.072,8120","4.069,2240","-3,5880","35,88"
"453","","J20","4.079,9090","4.076,2500","-3,6590","36,59"
"454","","K20","4.084,0940","4.080,7080","-3,3860","33,86"
"455","","M20","4.090,5800","4.087,1880","-3,3920","33,92"
"456","","N20","4.096,4730","4.093,5500","-2,9230","29,23"
"457","","V20","4.121,0530","4.119,1940","-1,8590","18,59"
"458","","F21","4.145,0780","4.145,3180","0,2400","2,40"
"459","","N21","4.213,8390","4.217,6330","3,7940","37,94"
"460","","J22","4.348,2910","4.358,3060","10,0150","100,15"
"461","","N22","4.397,0900","4.406,7040","9,6140","96,14"
"462","","F25","4.915,6340","4.943,8110","28,1770","281,77"
"463","WEU   - EURO MÍNI","F20","4.521,6440","4.522,0700","0,4260","4,26"
"464","","G20","4.536,1090","4.536,4900","0,3810","3,81"
"465","WIN   - Ibovespa Mini","G20","114.881","115.728","847","169,40"
"466","","J20","115.687","116.544","857","171,40"
"467","","M20","116.506","117.372","866","173,20"
"468","","Q20","117.335","118.210","875","175,00"
"469","","V20","118.256","119.170","914","182,80"
"470","","Z20","119.285","120.229","944","188,80"
"471","","G21","120.326","121.299","973","194,60"
"472","","J21","121.355","122.358","1.003","200,60"
"473","","M21","122.547","123.598","1.051","210,20"
"474","","Q21","123.878","124.976","1.098","219,60"
"475","","V21","125.046","126.179","1.133","226,60"
"476","","Z21","126.439","127.605","1.166","233,20"
"477","WSP   - S&P 500","Z19","3.194,75","3.207,00","12,25","124,37"
"478","","H20","3.200,25","3.211,25","11,00","111,68"
"479","","M20","3.199,00","3.211,75","12,75","129,44"
"480","WTI   - Petróleo Mini","G20","60,85","61,18","0,33","134,01"
"481","","H20","60,56","60,88","0,32","129,95"
"482","ZAR   - RANDE DA ÁFRICA DO SUL","F20","2.837,6490","2.845,8110","8,1620","285,67"
"483","","G20","2.828,0330","2.836,5380","8,5050","297,67"
"484","","H20","2.820,9100","2.829,3610","8,4510","295,78"
